Date,Open,High,Low,Close,Volume,SMA_20,RSI,MACD,MACD_Signal,MACD_Histogram,Target,Model_Prediction
2024-10-21,232.92,235.3043,232.92,234.9367,36254500,227.588,63.4206,2.6321,1.8898,0.7422,0,0
2024-10-22,232.3636,234.6784,231.0821,234.3208,38846600,228.0097,62.1246,2.7989,2.0716,0.7273,0,0
2024-10-23,232.5524,233.6054,226.2736,229.254,52287000,228.2278,52.6016,2.4936,2.156,0.3376,0,0
2024-10-24,228.4791,229.3137,226.9194,229.0653,31109500,228.3793,52.2801,2.2109,2.167,0.0439,1,1
2024-10-25,228.2407,231.698,228.0719,229.8998,38802300,228.5591,53.6296,2.0308,2.1398,-0.109,1,1
2024-10-28,231.7974,233.1982,231.0324,231.8768,36087100,228.579,56.75,2.0242,2.1167,-0.0924,1,1
2024-10-29,231.5788,232.8008,230.8039,232.1451,35417200,228.9496,57.1711,2.0174,2.0968,-0.0794,0,0
2024-10-30,231.092,231.9464,228.052,228.5984,47070900,229.1145,50.2098,1.7062,2.0187,-0.3125,0,0
2024-10-31,227.8433,228.3301,223.8992,224.4357,64370100,229.1264,43.513,1.1108,1.8371,-0.7263,0,0
2024-11-01,219.5279,223.8794,218.8325,221.4553,65276700,228.9332,39.4554,0.394,1.5485,-1.1545,0,0
2024-11-04,219.5478,221.336,218.2761,220.5611,44944500,228.9491,38.3014,-0.2435,1.1901,-1.4336,1,1
2024-11-05,220.3525,222.4885,219.6968,221.9918,28111300,228.8338,41.2615,-0.626,0.8269,-1.4529,0,0
2024-11-06,221.1572,224.5947,219.7465,221.2665,54561100,228.495,40.2084,-0.9765,0.4662,-1.4427,1,1
2024-11-07,223.1641,226.3929,223.1045,225.9955,42137700,228.4175,49.296,-0.8627,0.2004,-1.0631,0,0
2024-11-08,225.9358,227.4177,225.1799,225.7269,38328800,228.4006,48.842,-0.7851,0.0033,-0.7884,0,0
2024-11-11,223.7776,224.4738,220.2966,223.0117,42005600,228.0617,44.3907,-0.932,-0.1837,-0.7482,0,0
2024-11-12,223.33,224.3644,222.1465,223.0117,40398300,227.5961,44.3907,-1.0364,-0.3543,-0.6821,1,1
2024-11-13,222.7929,225.4186,221.5497,223.8969,48566200,227.2776,46.2431,-1.0358,-0.4906,-0.5452,1,1
2024-11-14,223.7975,227.6265,223.7776,226.9801,44923900,227.0948,52.2139,-0.7776,-0.548,-0.2296,0,0
2024-11-15,225.1699,225.6871,223.0515,223.7776,47923700,226.6104,46.4435,-0.8219,-0.6028,-0.2191,1,1
2024-11-18,224.0262,228.4918,223.9466,226.7812,44633700,226.2026,51.8214,-0.6076,-0.6037,-0.0039,1,1
2024-11-19,225.7468,228.9095,225.4286,227.0397,36211800,225.8386,52.2658,-0.4122,-0.5654,0.1532,1,1
2024-11-20,226.8209,228.6808,224.6627,227.7558,35169600,225.7636,53.5437,-0.1973,-0.4918,0.2945,0,0
2024-11-21,227.6365,228.9095,224.4837,227.2785,42108300,225.6743,52.534,-0.0647,-0.4064,0.3417,1,1
2024-11-22,226.8209,229.4665,226.8209,228.6211,38168300,225.6104,55.0987,0.147,-0.2957,0.4427,1,1
2024-11-25,230.2025,231.9827,228.4918,231.6048,90152800,225.5968,60.24,0.5492,-0.1267,0.6759,1,1
2024-11-26,232.0623,234.2902,232.0623,233.7829,45986200,225.6787,63.5235,1.0318,0.105,0.9268,0,0
2024-11-27,233.1961,234.4095,232.5397,233.6536,33498400,225.9314,63.1899,1.3878,0.3615,1.0263,1,1
2024-11-29,233.5343,236.518,232.6988,236.0406,28481400,226.5117,66.6699,1.8414,0.6575,1.1839,1,1
2024-12-02,235.9809,239.4818,235.8715,238.2883,48137100,227.3533,69.5858,2.355,0.997,1.358,1,1
2024-12-03,238.5071,241.4411,237.6021,241.3317,38861000,228.3918,73.0267,2.9734,1.3923,1.5811,1,1
2024-12-04,241.5505,242.7838,239.9393,241.6897,44383900,229.3767,73.4078,3.4526,1.8043,1.6482,1,1
2024-12-05,242.6644,243.2114,240.8145,241.7196,40033900,230.3994,73.4415,3.791,2.2017,1.5893,0,0
2024-12-06,241.5903,243.3009,240.7648,241.5206,36870600,231.1757,72.7796,3.9971,2.5608,1.4363,1,1
2024-12-09,240.5161,245.8967,240.4366,245.4094,44649200,232.1598,77.1204,4.4233,2.9333,1.49,1,1
2024-12-10,245.5487,246.8615,244.0071,246.4239,36914800,233.3304,78.1015,4.7876,3.3041,1.4835,0,0
2024-12-11,246.6128,249.4374,244.9221,245.1508,45205800,234.4373,73.8235,4.917,3.6267,1.2903,1,1
2024-12-12,245.5486,247.3886,244.3452,246.6128,32777500,235.5731,75.4843,5.079,3.9172,1.1618,1,1
2024-12-13,246.4736,247.9356,244.9022,246.7819,33155300,236.5632,75.6765,5.1615,4.166,0.9954,1,1
2024-12-16,246.6427,250.0143,246.3045,249.6761,51694800,237.8582,78.7479,5.3981,4.4124,0.9857,1,1
2024-12-17,248.7213,252.4509,248.4229,252.1028,51356400,239.1242,80.9231,5.7157,4.6731,1.0426,0,0
2024-12-18,250.79,252.8985,246.394,246.7023,56774100,240.1074,64.9831,5.4685,4.8322,0.6363,1,1
2024-12-19,246.1553,250.6309,245.7475,248.4329,60882300,241.1412,67.2118,5.3505,4.9358,0.4147,1,1
2024-12-20,246.6924,253.6146,244.3552,253.1074,147495300,242.4327,72.3342,5.5701,5.0627,0.5074,1,1
2024-12-23,253.3858,254.261,252.073,253.8831,40858800,243.6958,73.0856,5.7405,5.1982,0.5422,1,1
2024-12-24,254.102,256.8072,253.903,256.7972,23234700,244.9554,75.7503,6.041,5.3668,0.6742,1,1
2024-12-26,256.7873,258.6869,256.2303,257.6128,27237100,246.1469,76.4529,6.2727,5.548,0.7247,0,0
2024-12-27,256.4292,257.2945,251.6851,254.2014,42355300,247.1743,67.6262,6.1106,5.6605,0.4501,0,0
2024-12-30,250.8596,252.1227,249.3877,250.8298,35557500,247.9137,60.2256,5.645,5.6574,-0.0124,0,0
2024-12-31,251.0685,251.9039,248.0748,249.0595,39480700,248.4523,56.7159,5.0747,5.5408,-0.4662,0,0
2025-01-02,247.5776,247.7467,240.5062,242.5252,55740700,248.512,46.0491,4.0487,5.2424,-1.1937,0,0
2025-01-03,242.0378,242.8534,240.5758,242.0378,40244100,248.5294,45.3638,3.1599,4.8259,-1.666,1,1
2025-01-06,242.9827,245.9863,241.8787,243.6689,45045600,248.6268,48.1452,2.5577,4.3723,-1.8146,0,0
2025-01-07,241.6599,244.2159,240.0388,240.8941,40856000,248.5955,44.038,1.8353,3.8649,-2.0296,1,1
2025-01-08,240.6057,242.3859,238.7458,241.3814,37628900,248.3941,44.9266,1.2873,3.3494,-2.062,0,0
2025-01-10,238.706,238.8552,231.7341,235.5632,61710900,247.8511,37.3095,0.3792,2.7553,-2.3761,0,0
2025-01-13,232.2612,233.395,228.4719,233.1265,49630700,247.2499,34.6592,-0.531,2.0981,-2.6291,0,0
2025-01-14,233.4746,234.8371,231.207,232.0126,39435300,246.5198,33.4881,-1.3269,1.4131,-2.74,1,1
2025-01-15,233.3652,237.6617,233.1563,236.5776,39832000,246.0096,42.1197,-1.5712,0.8162,-2.3874,0,0
2025-01-16,236.0605,236.7169,226.7911,227.0199,71759100,244.8768,32.585,-2.5072,0.1515,-2.6587,1,1
2025-01-17,230.8589,231.028,227.2387,228.7305,68488300,243.7082,35.4036,-3.0754,-0.4939,-2.5816,0,0
2025-01-21,222.783,223.2007,218.1881,221.4304,98070400,242.4446,29.6975,-4.068,-1.2087,-2.8593,1,1
2025-01-22,218.5959,222.9024,218.5959,222.6139,64126500,241.1537,31.6217,-4.7048,-1.9079,-2.7969,0,0
2025-01-23,223.519,225.7965,221.0922,222.4449,60234800,239.6205,31.4891,-5.1636,-2.559,-2.6046,0,0
2025-01-24,223.5588,224.4041,220.2071,221.5696,54697900,238.0049,30.7698,-5.5341,-3.1541,-2.38,1,1
2025-01-27,222.8029,230.8887,222.7631,228.6112,94863400,236.5956,42.2072,-5.1995,-3.5631,-1.6364,1,1
2025-01-28,229.5958,238.885,229.556,236.9655,75707600,235.5632,52.2802,-4.2117,-3.6929,-0.5189,1,1
2025-01-29,232.848,238.5568,232.7386,238.0596,45486100,234.7561,53.4251,-3.3025,-3.6148,0.3123,0,0
2025-01-30,237.3733,239.4818,235.9212,236.2992,55658300,234.0296,51.2927,-2.693,-3.4304,0.7374,0,0
2025-01-31,245.847,245.847,232.1717,234.7178,100959800,233.3125,49.3858,-2.3109,-3.2065,0.8956,0,0
2025-02-03,228.7404,230.5704,224.4737,226.7712,73063300,232.5248,41.1141,-2.6191,-3.089,0.4699,1,1
2025-02-04,226.0154,231.8634,225.4186,231.5352,45067300,231.9997,46.8604,-2.4507,-2.9614,0.5107,0,0
2025-02-05,227.2884,231.4059,227.0298,231.207,39620300,231.3766,46.5236,-2.317,-2.8325,0.5155,1,1
2025-02-06,230.0334,232.5298,229.1781,231.9529,29925300,230.9295,47.4481,-2.1264,-2.6913,0.5649,0,0
2025-02-07,231.3363,232.7287,226.0253,226.3933,39707200,230.1801,41.6661,-2.3963,-2.6323,0.236,1,1
2025-02-10,228.5738,229.5893,226.214,226.6621,33115600,229.735,42.0339,-2.559,-2.6176,0.0586,1,1
2025-02-11,227.2097,234.2092,227.14,231.6105,53718400,229.6592,48.4745,-2.2626,-2.5466,0.284,1,1
2025-02-12,230.1967,235.9317,229.679,235.8421,45243300,229.8507,53.2573,-1.667,-2.3707,0.7037,1,1
2025-02-13,235.8819,241.2884,234.5478,240.4819,53614100,230.0459,57.8746,-0.8112,-2.0588,1.2476,1,1
2025-02-14,240.2031,244.4844,239.9442,243.5385,40896200,230.8719,60.6335,0.1123,-1.6246,1.7369,0,0
2025-02-18,243.0905,244.116,240.7905,243.4091,48822500,231.6058,60.453,0.8243,-1.1348,1.9591,1,1
2025-02-19,243.5983,244.9424,242.1048,243.8074,32204200,232.7246,60.8394,1.4045,-0.6269,2.0314,1,1
2025-02-20,243.8771,245.7091,243.2299,244.7632,32316900,233.8321,61.804,1.9193,-0.1177,2.037,0,0
2025-02-21,244.8827,247.6108,244.1559,244.4844,53197400,234.9341,61.3295,2.2785,0.3616,1.917,1,1
2025-02-24,243.8671,247.7801,243.3593,246.0277,51326400,236.157,63.0219,2.6571,0.8207,1.8364,0,0
2025-02-25,246.9238,248.9151,243.8472,245.968,48013300,237.0248,62.9072,2.9187,1.2403,1.6784,0,0
2025-02-26,243.2697,243.9169,238.0923,239.3169,44433600,237.1424,51.6329,2.5598,1.5042,1.0556,0,0
2025-02-27,238.3711,241.4079,236.0313,236.2702,41153600,237.0529,47.4388,2.0064,1.6046,0.4018,1,1
2025-02-28,235.9217,241.0394,229.201,240.7905,56833400,237.2775,53.477,1.9105,1.6658,0.2447,0,0
2025-03-03,240.7407,242.971,235.0854,236.9971,47184000,237.3915,48.447,1.5111,1.6348,-0.1238,0,0
2025-03-04,236.6785,239.0282,233.6616,234.9062,53798100,237.7982,45.8852,1.0141,1.5107,-0.4966,0,0
2025-03-05,234.3984,235.5235,228.2352,234.717,47227600,237.9573,45.65,0.598,1.3282,-0.7301,0,0
